DPU 20, Thread 3, Cycles: 464
DPU 20, Thread 4, Cycles: 496
DPU 20, Thread 5, Cycles: 496
DPU 20, Thread 6, Cycles: 512
DPU 20, Thread 7, Cycles: 544
DPU 20, Thread 8, Cycles: 560
DPU 20, Thread 9, Cycles: 576
DPU 20, Thread 10, Cycles: 576
DPU 20, Thread 11, Cycles: 576
DPU 20, Thread 12, Cycles: 576
DPU 20, Thread 13, Cycles: 576
DPU 20, Thread 14, Cycles: 592
DPU 20, Thread 15, Cycles: 384
DPU 21, Thread 0, Cycles: 576
DPU 21, Thread 1, Cycles: 448
DPU 21, Thread 2, Cycles: 480
DPU 21, Thread 3, Cycles: 464
DPU 21, Thread 4, Cycles: 496
DPU 21, Thread 5, Cycles: 496
DPU 21, Thread 6, Cycles: 512
DPU 21, Thread 7, Cycles: 544
DPU 21, Thread 8, Cycles: 560
DPU 21, Thread 9, Cycles: 576
DPU 21, Thread 10, Cycles: 576
DPU 21, Thread 11, Cycles: 576
DPU 21, Thread 12, Cycles: 576
DPU 21, Thread 13, Cycles: 576
DPU 21, Thread 14, Cycles: 592
DPU 21, Thread 15, Cycles: 384
DPU 22, Thread 0, Cycles: 576
DPU 22, Thread 1, Cycles: 448
DPU 22, Thread 2, Cycles: 480
DPU 22, Thread 3, Cycles: 464
DPU 22, Thread 4, Cycles: 496
DPU 22, Thread 5, Cycles: 496
DPU 22, Thread 6, Cycles: 512
DPU 22, Thread 7, Cycles: 544
DPU 22, Thread 8, Cycles: 560
DPU 22, Thread 9, Cycles: 576
DPU 22, Thread 10, Cycles: 576
DPU 22, Thread 11, Cycles: 576
DPU 22, Thread 12, Cycles: 576
DPU 22, Thread 13, Cycles: 576
DPU 22, Thread 14, Cycles: 592
DPU 22, Thread 15, Cycles: 384
DPU 23, Thread 0, Cycles: 576
DPU 23, Thread 1, Cycles: 448
DPU 23, Thread 2, Cycles: 480
DPU 23, Thread 3, Cycles: 464
DPU 23, Thread 4, Cycles: 496
DPU 23, Thread 5, Cycles: 496
DPU 23, Thread 6, Cycles: 512
DPU 23, Thread 7, Cycles: 544
DPU 23, Thread 8, Cycles: 560
DPU 23, Thread 9, Cycles: 576
DPU 23, Thread 10, Cycles: 576
DPU 23, Thread 11, Cycles: 576
DPU 23, Thread 12, Cycles: 576
DPU 23, Thread 13, Cycles: 576
DPU 23, Thread 14, Cycles: 592
DPU 23, Thread 15, Cycles: 384
DPU 24, Thread 0, Cycles: 576
DPU 24, Thread 1, Cycles: 448
DPU 24, Thread 2, Cycles: 480
DPU 24, Thread 3, Cycles: 464
DPU 24, Thread 4, Cycles: 496
DPU 24, Thread 5, Cycles: 496
DPU 24, Thread 6, Cycles: 512
DPU 24, Thread 7, Cycles: 544
DPU 24, Thread 8, Cycles: 560
DPU 24, Thread 9, Cycles: 576
DPU 24, Thread 10, Cycles: 576
DPU 24, Thread 11, Cycles: 576
DPU 24, Thread 12, Cycles: 576
DPU 24, Thread 13, Cycles: 576
DPU 24, Thread 14, Cycles: 592
DPU 24, Thread 15, Cycles: 384
DPU 25, Thread 0, Cycles: 576
DPU 25, Thread 1, Cycles: 448
DPU 25, Thread 2, Cycles: 480
DPU 25, Thread 3, Cycles: 464
DPU 25, Thread 4, Cycles: 496
DPU 25, Thread 5, Cycles: 496
DPU 25, Thread 6, Cycles: 512
DPU 25, Thread 7, Cycles: 544
DPU 25, Thread 8, Cycles: 560
DPU 25, Thread 9, Cycles: 576
DPU 25, Thread 10, Cycles: 576
DPU 25, Thread 11, Cycles: 576
DPU 25, Thread 12, Cycles: 576
DPU 25, Thread 13, Cycles: 576
DPU 25, Thread 14, Cycles: 592
DPU 25, Thread 15, Cycles: 384
DPU 26, Thread 0, Cycles: 576
DPU 26, Thread 1, Cycles: 448
DPU 26, Thread 2, Cycles: 480
DPU 26, Thread 3, Cycles: 464
DPU 26, Thread 4, Cycles: 496
DPU 26, Thread 5, Cycles: 496
DPU 26, Thread 6, Cycles: 512
DPU 26, Thread 7, Cycles: 544
DPU 26, Thread 8, Cycles: 560
DPU 26, Thread 9, Cycles: 576
DPU 26, Thread 10, Cycles: 576
DPU 26, Thread 11, Cycles: 576
DPU 26, Thread 12, Cycles: 576
DPU 26, Thread 13, Cycles: 576
DPU 26, Thread 14, Cycles: 592
DPU 26, Thread 15, Cycles: 384
DPU 27, Thread 0, Cycles: 576
DPU 27, Thread 1, Cycles: 448
DPU 27, Thread 2, Cycles: 480
DPU 27, Thread 3, Cycles: 464
DPU 27, Thread 4, Cycles: 496
DPU 27, Thread 5, Cycles: 496
DPU 27, Thread 6, Cycles: 512
DPU 27, Thread 7, Cycles: 544
DPU 27, Thread 8, Cycles: 560
DPU 27, Thread 9, Cycles: 576
DPU 27, Thread 10, Cycles: 576
DPU 27, Thread 11, Cycles: 576
DPU 27, Thread 12, Cycles: 576
DPU 27, Thread 13, Cycles: 576
DPU 27, Thread 14, Cycles: 592
DPU 27, Thread 15, Cycles: 384
DPU 28, Thread 0, Cycles: 576
DPU 28, Thread 1, Cycles: 448
DPU 28, Thread 2, Cycles: 480
DPU 28, Thread 3, Cycles: 464
DPU 28, Thread 4, Cycles: 496
DPU 28, Thread 5, Cycles: 496
DPU 28, Thread 6, Cycles: 512
DPU 28, Thread 7, Cycles: 544
DPU 28, Thread 8, Cycles: 560
DPU 28, Thread 9, Cycles: 576
DPU 28, Thread 10, Cycles: 576
DPU 28, Thread 11, Cycles: 576
DPU 28, Thread 12, Cycles: 576
DPU 28, Thread 13, Cycles: 576
DPU 28, Thread 14, Cycles: 592
DPU 28, Thread 15, Cycles: 384
DPU 29, Thread 0, Cycles: 576
DPU 29, Thread 1, Cycles: 448
DPU 29, Thread 2, Cycles: 480
DPU 29, Thread 3, Cycles: 464
DPU 29, Thread 4, Cycles: 496
DPU 29, Thread 5, Cycles: 496
DPU 29, Thread 6, Cycles: 512
DPU 29, Thread 7, Cycles: 544
DPU 29, Thread 8, Cycles: 560
DPU 29, Thread 9, Cycles: 576
DPU 29, Thread 10, Cycles: 576
DPU 29, Thread 11, Cycles: 576
DPU 29, Thread 12, Cycles: 576
DPU 29, Thread 13, Cycles: 576
DPU 29, Thread 14, Cycles: 592
DPU 29, Thread 15, Cycles: 384
DPU 30, Thread 0, Cycles: 576
DPU 30, Thread 1, Cycles: 448
DPU 30, Thread 2, Cycles: 480
DPU 30, Thread 3, Cycles: 464
DPU 30, Thread 4, Cycles: 496
DPU 30, Thread 5, Cycles: 496
DPU 30, Thread 6, Cycles: 512
DPU 30, Thread 7, Cycles: 544
DPU 30, Thread 8, Cycles: 560
DPU 30, Thread 9, Cycles: 576
DPU 30, Thread 10, Cycles: 576
DPU 30, Thread 11, Cycles: 576
DPU 30, Thread 12, Cycles: 576
DPU 30, Thread 13, Cycles: 576
DPU 30, Thread 14, Cycles: 592
DPU 30, Thread 15, Cycles: 384
DPU 31, Thread 0, Cycles: 576
DPU 31, Thread 1, Cycles: 448
DPU 31, Thread 2, Cycles: 480
DPU 31, Thread 3, Cycles: 464
DPU 31, Thread 4, Cycles: 496
DPU 31, Thread 5, Cycles: 496
DPU 31, Thread 6, Cycles: 512
DPU 31, Thread 7, Cycles: 544
DPU 31, Thread 8, Cycles: 560
DPU 31, Thread 9, Cycles: 576
DPU 31, Thread 10, Cycles: 576
DPU 31, Thread 11, Cycles: 576
DPU 31, Thread 12, Cycles: 576
DPU 31, Thread 13, Cycles: 576
DPU 31, Thread 14, Cycles: 592
DPU 31, Thread 15, Cycles: 384
DPU 32, Thread 0, Cycles: 576
DPU 32, Thread 1, Cycles: 448
DPU 32, Thread 2, Cycles: 480
DPU 32, Thread 3, Cycles: 464
DPU 32, Thread 4, Cycles: 496
DPU 32, Thread 5, Cycles: 496
DPU 32, Thread 6, Cycles: 512
DPU 32, Thread 7, Cycles: 544
DPU 32, Thread 8, Cycles: 560
DPU 32, Thread 9, Cycles: 576
DPU 32, Thread 10, Cycles: 576
DPU 32, Thread 11, Cycles: 576
DPU 32, Thread 12, Cycles: 576
